BL001,NV001,10,2025,15000000,1500000,2000000,0,1200000,18300000
BL002,NV002,10,2025,12000000,1000000,0,300000,900000,20700000
BL003,NV003,10,2025,20000000,2000000,2500000,0,1600000,30900000
BL004,NV004,10,2025,10000000,800000,0,200000,700000,10300000
BL005,NV005,10,2025,25000000,3000000,3000000,0,2000000,29000000
BL006,NV006,10,2025,3000000,300000,0,0,250000,3050000
BL007,NV007,10,2025,3200000,200000,0,100000,270000,3210000
BL008,NV008,10,2025,1800000,150000,0,0,150000,1800000
BL009,NV009,10,2025,13000000,1200000,1000000,0,1000000,14200000
BL010,NV010,10,2025,4000000,400000,0,0,350000,4050000
